Perioden	CBScode	Crimes	CrimeType
2016JJ00	GM0335	314	all crimes
2014JJ00	GM0944	289	all crimes
2015JJ00	GM0944	253	all crimes
2016JJ00	GM0944	257	all crimes
2014JJ00	GM0424	462	all crimes
2015JJ00	GM0424	374	all crimes
2016JJ00	GM0424		all crimes
2014JJ00	GM0425	780	all crimes
2015JJ00	GM0425	739	all crimes
2016JJ00	GM0425		all crimes
2014JJ00	GM1740	703	all crimes
2015JJ00	GM1740	727	all crimes
2016JJ00	GM1740	779	all crimes
2014JJ00	GM0643		all crimes
2015JJ00	GM0643		all crimes
2016JJ00	GM0643		all crimes
2014JJ00	GM0946	452	all crimes
2015JJ00	GM0946	478	all crimes
2016JJ00	GM0946	448	all crimes
2014JJ00	GM0304	385	all crimes
