	CBScode	Perioden	  HIC: Theft / burglary dwelling, complete	  HIC: Theft / burglary dwelling, attempts	HIC: Violent Crime	HIC: Street Roof	HIC: Robberies	Undermining public order	Threat	Fire / Explosion	Theft of moped, moped, bike	Theft of / from vehicles	Theft of motor vehicles	Theft / burglary companies / institutions	Theft / burglary garage / barn / shed	Drug trafficking	Trespassing	mistreatment	Overt violence (person)	Or destruction. cause damage	Arms Trade	pickpocketing	morals Felony	Municipality	Province	Population	Population_density(p/km)	Municipality Size
594	GM0392	2016JJ00	346.0	105.0	730.0	25.0	12.0	111.0	239.0	49.0	1636.0	782.0	131.0	260.0	170.0	83.0	23.0	436.0	55.0	1131.0	48.0	239.0	64.0	Haarlem	North Holland	155205.0	5195.0	Big
595	GM0392	2017JJ00	302.0	118.0	698.0	18.0	10.0	68.0	238.0	38.0	1156.0	572.0	230.0	234.0	124.0	90.0	8.0	392.0	68.0	1348.0	54.0	206.0	68.0	Haarlem	North Holland	155205.0	5195.0	Big
596	GM0393	2014JJ00	18.0	14.0	11.0	0.0	1.0	1.0	3.0	3.0	34.0	38.0	4.0	9.0	4.0	27.0	0.0	8.0	0.0	29.0	0.0	30.0	0.0	Haarlemmerliede en Spaarnwoude	North Holland	5547.0	284.0	Small
597	GM0393	2015JJ00	14.0	16.0	19.0	1.0	0.0	0.0	7.0	0.0	35.0	20.0	9.0	12.0	2.0	48.0	0.0	11.0	1.0	31.0	3.0	12.0	0.0	Haarlemmerliede en Spaarnwoude	North Holland	5547.0	284.0	Small
598	GM0393	2016JJ00	25.0	20.0	16.0	2.0	1.0	0.0	4.0	0.0	32.0	16.0	7.0	7.0	2.0	48.0	0.0	8.0	4.0	33.0	2.0	14.0	2.0	Haarlemmerliede en Spaarnwoude	North Holland	5547.0	284.0	Small
599	GM0393	2017JJ00	16.0	10.0	22.0	0.0	0.0	0.0	8.0	2.0	26.0	28.0	14.0	12.0	0.0	20.0	0.0	8.0	6.0	12.0	2.0	0.0	0.0	Haarlemmerliede en Spaarnwoude	North Holland	5547.0	284.0	Small
600	GM0394	2014JJ00	404.0	171.0	523.0	15.0	7.0	24.0	174.0	24.0	569.0	579.0	113.0	370.0	111.0	114.0	9.0	330.0	19.0	797.0	42.0	325.0	55.0	Haarlemmermeer	North Holland	144166.0	806.0	Big
601	GM0394	2015JJ00	339.0	208.0	458.0	34.0	13.0	21.0	179.0	36.0	542.0	588.0	91.0	367.0	101.0	125.0	11.0	256.0	23.0	742.0	36.0	244.0	27.0	Haarlemmermeer	North Holland	144166.0	806.0	Big
602	GM0394	2016JJ00	320.0	153.0	406.0	21.0	4.0	18.0	122.0	26.0	424.0	449.0	117.0	303.0	72.0	78.0	10.0	262.0	22.0	725.0	57.0	397.0	36.0	Haarlemmermeer	North Holland	144166.0	806.0	Big
603	GM0394	2017JJ00	370.0	172.0	378.0	18.0	8.0	30.0	138.0	14.0	478.0	352.0	106.0	356.0	108.0	44.0	8.0	218.0	22.0	752.0	30.0	242.0	42.0	Haarlemmermeer	North Holland	144166.0	806.0	Big
