Periods,BicycleTheftBicycleOwnersOnly_13,BicycleTheft_12,BurglaryOnlyHouseholds_11,Burglary_10,CarTheftCarUsersOnly_15,CarTheft_14,HarassmentByPhone_25,HitAndRunAccidents_24,OtherOffences_26,OtherThefts_19,OtherVandalism_23,Periods,PersonalCharacteristics,PhysicalAbuse_7,Pickpocketing_18,SexualOffencesOnlyWomen_6,SexualOffences_5,TheftFromCarsCarUsersOnly_17,TheftFromDamageToCarCarUsers_22,TheftFromDamageToCar_21,TheftsFromCars_16,Threat_8,TotalThefts_9,TotalVandalism_20,TotalViolentCrimes_4,VictimOfMoreThanOneTypeOfOffence_3,VictimOfTheOneTypeOfOffence_2,VictimsTotal_1,KeyCharacteristics,Title,CategoryGroupID
2000JJ00,0.2,0.2,,1.0,0.2,0.1,5.0,0.4,0.3,1.0,2.8,2000JJ00,20 ,0.1,2.2,0.0,0.0,0.6,5.2,2.7,0.3,0.5,4.5,5.3,0.6,0.4,10.2,10.6,20,age cat. 1: 65-74 yrs,3
2001JJ00,1.0,0.8,,0.8,0.2,0.1,3.2,0.5,0.2,1.3,2.2,2001JJ00,20 ,0.3,1.6,0.0,0.0,0.9,7.5,4.0,0.5,1.2,4.8,6.1,1.5,1.4,10.4,11.8,20,age cat. 1: 65-74 yrs,3
2002JJ00,1.5,1.4,,1.2,0.4,0.2,3.9,0.6,0.8,1.5,1.8,2002JJ00,20 ,0.2,1.5,0.0,0.0,0.7,6.3,3.3,0.4,2.1,6.2,5.1,2.4,1.1,11.8,13.0,20,age cat. 1: 65-74 yrs,3
2003JJ00,1.3,1.1,,1.1,0.0,0.0,4.8,0.6,0.3,1.9,3.4,2003JJ00,20 ,0.1,1.7,0.7,0.4,1.2,8.1,4.5,0.6,0.9,6.0,7.8,1.4,1.8,12.6,14.4,20,age cat. 1: 65-74 yrs,3
2004JJ00,1.6,1.3,,0.8,0.0,0.0,4.0,0.3,0.5,2.0,3.2,2004JJ00,20 ,0.0,1.1,0.0,0.1,1.1,6.6,3.9,0.7,0.7,5.7,6.8,0.7,1.6,10.7,12.3,20,age cat. 1: 65-74 yrs,3
1997JJ00,1.3,0.2,,2.3,0.0,0.0,4.0,0.3,0.3,1.3,1.7,1997JJ00,21 ,0.2,1.3,0.0,0.0,1.3,3.1,1.0,0.4,0.6,5.3,2.7,0.8,0.5,8.3,8.8,21,Age cat. 1: 75 yrs and older,3
1998JJ00,1.3,0.6,,0.8,0.0,0.0,5.5,0.8,0.0,0.7,1.5,1998JJ00,21 ,0.4,1.5,0.3,0.2,0.0,6.1,1.8,0.0,0.4,3.6,3.3,1.0,0.5,7.8,8.3,21,Age cat. 1: 75 yrs and older,3
1999JJ00,1.2,0.6,,1.1,0.0,0.0,4.3,0.3,0.9,0.7,0.4,1999JJ00,21 ,0.0,1.7,0.4,0.3,2.2,6.8,2.2,0.7,0.1,4.3,2.6,0.4,0.8,6.3,7.1,21,Age cat. 1: 75 yrs and older,3
2000JJ00,1.3,0.8,,0.8,0.0,0.0,4.1,0.6,0.0,1.3,1.5,2000JJ00,21 ,0.0,2.6,0.2,0.1,2.1,3.1,0.9,0.6,0.2,5.8,2.4,0.4,0.6,8.2,8.8,21,Age cat. 1: 75 yrs and older,3
2001JJ00,1.0,0.5,,1.0,0.4,0.2,2.5,0.3,0.0,1.0,0.8,2001JJ00,21 ,0.2,2.0,0.0,0.0,0.2,3.7,1.4,0.1,0.5,4.2,2.2,0.7,0.8,6.1,7.0,21,Age cat. 1: 75 yrs and older,3
2002JJ00,1.0,0.5,,0.9,0.0,0.0,3.4,0.3,0.1,1.1,0.7,2002JJ00,21 ,0.1,1.9,0.0,0.0,0.0,7.1,2.7,0.0,0.3,4.5,3.4,0.5,0.0,8.7,8.7,21,Age cat. 1: 75 yrs and older,3
