Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
1999JJ00,60600,2.0,6.0,0.0,12.0,0.0,6.0,2.0,1999JJ00,1.0,1100,9.0,19,9.6,,,60600,50 to 60 years
2000JJ00,60600,1.0,5.0,5.0,16.0,3.0,3.0,6.0,2000JJ00,2.0,1100,7.0,24,11.8,,,60600,50 to 60 years
2001JJ00,60600,1.0,7.0,2.0,16.0,1.0,6.0,6.0,2001JJ00,8.0,1100,15.0,31,14.9,,,60600,50 to 60 years
2002JJ00,60600,3.0,11.0,0.0,16.0,1.0,3.0,3.0,2002JJ00,6.0,1100,9.0,26,12.2,,,60600,50 to 60 years
2003JJ00,60600,2.0,9.0,2.0,14.0,4.0,14.0,9.0,2003JJ00,2.0,1100,12.0,34,15.6,,,60600,50 to 60 years
2004JJ00,60600,3.0,8.0,4.0,11.0,2.0,7.0,2.0,2004JJ00,10.0,1100,13.0,30,13.6,,,60600,50 to 60 years
2005JJ00,60600,2.0,4.0,5.0,13.0,2.0,4.0,2.0,2005JJ00,2.0,1100,8.0,21,9.3,,,60600,50 to 60 years
2006JJ00,60600,0.0,3.0,2.0,10.0,2.0,5.0,4.0,2006JJ00,0.0,1100,8.0,17,7.5,,,60600,50 to 60 years
2007JJ00,60600,3.0,6.0,2.0,15.0,3.0,3.0,2.0,2007JJ00,5.0,1100,13.0,26,11.6,,,60600,50 to 60 years
2008JJ00,60600,1.0,5.0,2.0,16.0,0.0,3.0,3.0,2008JJ00,4.0,1100,12.0,23,10.3,,,60600,50 to 60 years
2009JJ00,60600,3.0,7.0,3.0,16.0,3.0,2.0,5.0,2009JJ00,9.0,1100,12.0,30,13.3,,,60600,50 to 60 years
2010JJ00,60600,3.0,2.0,2.0,6.0,1.0,3.0,2.0,2010JJ00,6.0,1100,7.0,16,7.0,,,60600,50 to 60 years
2011JJ00,60600,2.0,5.0,0.0,17.0,2.0,2.0,1.0,2011JJ00,2.0,1100,15.0,23,10.0,,,60600,50 to 60 years
2012JJ00,60600,1.0,6.0,2.0,9.0,2.0,3.0,2.0,2012JJ00,1.0,1100,4.0,15,6.4,,,60600,50 to 60 years
2013JJ00,60600,2.0,2.0,3.0,16.0,1.0,2.0,1.0,2013JJ00,0.0,1100,11.0,19,8.0,,,60600,50 to 60 years
2014JJ00,60600,0.0,2.0,7.0,11.0,1.0,2.0,3.0,2014JJ00,3.0,1100,5.0,17,7.1,,,60600,50 to 60 years
2015JJ00,60600,1.0,5.0,2.0,10.0,1.0,2.0,2.0,2015JJ00,5.0,1100,8.0,18,7.4,,,60600,50 to 60 years
2016JJ00,60600,1.0,4.0,1.0,5.0,1.0,4.0,0.0,2016JJ00,3.0,1100,7.0,13,5.7,,,60600,50 to 60 years
1996JJ00,21400,5.0,4.0,5.0,16.0,0.0,9.0,5.0,1996JJ00,3.0,1100,9.0,28,10.1,,,21400,60 years or older
1997JJ00,21400,2.0,0.0,8.0,9.0,0.0,14.0,9.0,1997JJ00,4.0,1100,8.0,27,9.7,,,21400,60 years or older
1998JJ00,21400,3.0,2.0,7.0,9.0,0.0,19.0,9.0,1998JJ00,1.0,1100,8.0,29,10.3,,,21400,60 years or older
1999JJ00,21400,7.0,1.0,3.0,12.0,0.0,6.0,2.0,1999JJ00,5.0,1100,10.0,23,8.0,,,21400,60 years or older
2000JJ00,21400,1.0,3.0,3.0,10.0,1.0,5.0,4.0,2000JJ00,0.0,1100,5.0,16,5.5,,,21400,60 years or older
